sale_date,sale_time,file_number,case_number,firm_name,address,city,county,zip_code,opening_bid,required_down,sale_amount,continuance,sold_to,last_updated
2018-04-30 10:30:00,10:30 AM,38-979,17 CH 004719,"CODILIS & ASSOCIATES, P.C.",4715 W. WASHINGTON BLVD.,CHICAGO,Cook,60644,80000.00,25,80000.00,,Plaintiff,2018-05-30 20:27:19.452861
2018-04-30 10:30:00,10:30 AM,38-2212,17 CH 03580,"HEAVNER, BEYERS & MIHLAR, LLC",5131 W. PATTERSON AVE.,CHICAGO,Cook,60641,109934.64,25,109934.64,,Plaintiff,2018-05-30 20:27:19.573860
2018-04-30 10:30:00,10:30 AM,38-912,17 CH 008622,"CODILIS & ASSOCIATES, P.C.",526 E. 88TH PL,CHICAGO,Cook,60619,69350.00,25,69350.00,,Plaintiff,2018-05-30 20:27:19.723862
2018-04-30 10:30:00,10:30 AM,38-2435,14 CH 10766,"McCalla Raymer Leibert Pierce, LLC",6301 WEST DIVERSEY AVE UNIT 3,CHICAGO,Cook,60639,91200.00,25,91300.00,,Third Party Bidder,2018-05-30 20:27:19.857858
2018-04-30 10:30:00,10:30 AM,38-2528,16 CH 00791,"McCalla Raymer Leibert Pierce, LLC",714 WEST 59TH STREET,CHICAGO,Cook,60621,21000.00,25,21000.00,,Plaintiff,2018-05-30 20:27:19.959860
2018-04-30 10:30:00,10:30 AM,38-1269,16 CH 1336,"MARINOSCI LAW GROUP, P.C.",7812 SOUTH EVANS,CHICAGO,Cook,60619,47450.00,25,47550.00,,Third Party Bidder,2018-05-30 20:27:20.050860
2018-04-30 10:30:00,10:30 AM,38-2644,17 CH 13151,"JOHNSON, BLUMBERG & ASSOCIATES, LLC",9636 S. WOODLAWN AVE.,CHICAGO,Cook,60628,8300.00,25,27900.00,,Third Party Bidder,2018-05-30 20:27:20.166859
2018-05-01 10:30:00,10:30 AM,38-965,17 CH 04613,"HAUSELMAN, RAPPIN & OLSWANG, LTD.",11225 S. AVE H,CHICAGO,Cook,60617,55000.00,25,55000.00,,Plaintiff,2018-05-30 20:27:20.314860
2018-05-01 10:30:00,10:30 AM,38-1002,16 CH 05944,"McCalla Raymer Leibert Pierce, LLC",11527 SOUTH PARNELL AVENUE,CHICAGO,Cook,60628,50000.00,25,50000.00,,Plaintiff,2018-05-30 20:27:20.604860
2018-05-01 10:30:00,10:30 AM,38-993,15 CH 13881,"McCalla Raymer Leibert Pierce, LLC",1713 N MAJOR AVE,CHICAGO,Cook,60639,116800.00,25,116800.00,,Plaintiff,2018-05-30 20:27:20.714859
2018-05-01 10:30:00,10:30 AM,38-2253,17 CH 8177,GOLDSTEIN & MCCLINTOCK LLLP,"4176 W. MONTROSE AVE., Chicago, IL 60641 and 3501 W. 26TH STREET",CHICAGO,Cook,60623,,25,810000.00,,Plaintiff,2018-05-30 20:27:20.811859
2018-05-01 10:30:00,10:30 AM,38-1090,2017 CH 10981,"CODILIS & ASSOCIATES, P.C.",5745 S. EMERALD AVENUE,CHICAGO,Cook,60621,18960.45,25,18960.45,,Plaintiff,2018-05-30 20:27:20.912859
2018-05-01 10:30:00,10:30 AM,38-985,17 CH 6727,"LAW OFFICES OF IRA T. NEVEL, LLC",6119 S. FAIRFIELD AVE.,CHICAGO,Cook,60629,83700.00,25,83700.00,,Plaintiff,2018-05-30 20:27:21.050858
2018-05-01 10:30:00,10:30 AM,38-976,17 CH 03051,"McCalla Raymer Leibert Pierce, LLC",7207 SOUTH PERRY AVENUE,CHICAGO,Cook,60621,36500.00,25,36600.00,,Third Party Bidder,2018-05-30 20:27:21.144858
2018-05-01 10:30:00,10:30 AM,38-1104,2017 CH 8795,"MARINOSCI LAW GROUP, P.C.",7646 S JEFFERY BLVD,CHICAGO,Cook,60649,116800.00,25,116800.00,,Plaintiff,2018-05-30 20:27:21.248859
2018-05-01 10:30:00,10:30 AM,38-967,17 CH 07636,"McCalla Raymer Leibert Pierce, LLC",7738 SOUTH KILBOURN AVENUE,CHICAGO,Cook,60652,,25,180000.00,,,2018-05-30 20:27:21.366862
2018-05-01 10:30:00,10:30 AM,38-1001,17 CH 03318,"McCalla Raymer Leibert Pierce, LLC",8618 SOUTH UNION AVENUE,CHICAGO,Cook,60620,40000.00,25,40000.00,,Plaintiff,2018-05-30 20:27:21.520858
2018-05-01 10:30:00,10:30 AM,38-342,2017 CH 12360,"CODILIS & ASSOCIATES, P.C.",9137 S. EMERALD AVE,CHICAGO,Cook,60620,125000.00,25,125000.00,,Plaintiff,2018-05-30 20:27:21.624860
2018-05-02 10:30:00,10:30 AM,38-2700,2017 CH 02178,"WALINSKI & ASSOCIATES, P.C.",10019 SOUTH PARNELL AVE,CHICAGO,Cook,60628,40000.00,25,40000.00,,Plaintiff,2018-05-30 20:27:21.821860
2018-05-02 10:30:00,10:30 AM,38-1302,17 CH 10897,"SHAPIRO KREISMAN & ASSOCIATES, LLC",10526 SOUTH INDIANA AVENUE,CHICAGO,Cook,60628,10950.00,25,14000.00,,Third Party Bidder,2018-05-30 20:27:21.926865
2018-05-02 10:30:00,10:30 AM,38-2863,2017 CH 11569,"McCalla Raymer Leibert Pierce, LLC",12246 SOUTH ABERDEEN STREET,CHICAGO,Cook,60643,100.00,25,25000.00,,Plaintiff,2018-05-30 20:27:22.023860
2018-05-02 10:30:00,10:30 AM,38-1115,17 CH 00460,"McCalla Raymer Leibert Pierce, LLC",13246 SOUTH FORRESTVILLE AVENUE,CHICAGO,Cook,60827,59739.60,25,59739.60,,Plaintiff,2018-05-30 20:27:22.119861
2018-05-02 10:30:00,10:30 AM,38-1021,17 CH 02910,"McCalla Raymer Leibert Pierce, LLC",164 NORTH LEAMINGTON AVENUE,CHICAGO,Cook,60644,75000.00,25,75000.00,,Plaintiff,2018-05-30 20:27:22.212860
2018-05-02 10:30:00,10:30 AM,38-1245,10 CH 008330,"CODILIS & ASSOCIATES, P.C.",1649 W. 93RD STREET,CHICAGO,Cook,60620,40000.00,25,68300.00,,Third Party Bidder,2018-05-30 20:27:22.310861
2018-05-02 10:30:00,10:30 AM,38-1171,17 CH 6305,"Anselmo Lindberg & Associates, LLC",2233 NORTH LA CROSSE AVENUE,CHICAGO,Cook,60639,198955.00,25,198955.00,,Plaintiff,2018-05-30 20:27:22.457860
2018-05-02 10:30:00,10:30 AM,38-1226,11 CH 007686,"CODILIS & ASSOCIATES, P.C.",3045 W. FARGO AVENUE,CHICAGO,Cook,60645,288000.00,25,288100.00,,Third Party Bidder,2018-05-30 20:27:22.546860
2018-05-02 10:30:00,10:30 AM,38-1125,2017 CH 7552,"MARINOSCI LAW GROUP, P.C.",3352 S CARPENTER ST,CHICAGO,Cook,60608,242825.57,25,242825.57,,Plaintiff,2018-05-30 20:27:22.639860
